,reviews,stars,date,Verified
62,verifi travel british airway sweden los angel via london decemb 2022 arriv lax one bag miss inform whereabout bag search someon 30 minut found point contact told bag left behind gave detail would stay told would contact day still contact tri call british airway custom servic woman airport give file refer number quit difficult tri locat bag final found refer number bag said would deliv coupl day told switch hotel gave address stay everyth fine coupl week went bag still nowher seen time fli home airport tri talk personnel tri locat bag said deliv first hotel stay even though given updat address ask sinc fli home guy counter told problem figur question respons walk away manag saw came apolog colleagu would send someon fetch bag send either flight next one came home coupl day later receiv bag made complaint claim british airway websit sinc buy cloth toiletri vacat bag januari said would refund claim april almost may still receiv refund even multipl email convers know anymor situat sinc appear one will help appal situat handl frank disappoint british airway lack custom servic ,5,2023-04-26,False
63,verifi food lousi ever plan asian hindu vegetarian meal clueless meal includ snack also lousi took us 2 hour go t5 t3 clear secur check place chaotic get board gate long line 40 minut wait someon check passport board pass seat premium economi ok passeng front reclin littl space window seat passeng cross overal good airlin ,1,2023-04-24,False
64, trip verifi worst experi flight london toronto got delay miss connect flight halifax four includ infant toddler age 4 year despit delay miss connect flight ground staff help wait hour get talk us 12 told us book hotel us stay night ask go search hotel nice british airway least guy given consider travel travel children book ommod travel airlin ,2,2023-04-24,True
65, trip verifi ground staff help felt like want rush us check passeng need wait hold area bus anyway travel child disabl nightmar british airway log complaint took almost four week answer lost luggag good experi ,1,2023-04-23,True
66, trip verifi second time ba premium economi newer aircraft yet anoth excel experi despit three hour delay miss connect hong kong pleasant flight seat spacious comfort premium economi layout attitud cabin crew excel food good communic well rebook connect flight brought peac mind pleasant experi ba premium economi major disappoint club world earlier year ,1,2023-04-22,True
67,verifi chang flight brussel london heathrow lax 4 16 2023 paid extra choos seat sinc cancel never honor seat bought seat us total differ seat ask check employe rude told us understand differ flight london lax wors nobodi airport help us employe ba told us return next day flight rent hotel go termin 3 sleep final one employe help us give voucher hotel nightmar airlin miss one day work ba return money paid previous chosen seat ,10,2023-04-18,False
68,verifi copenhagen chaotic ticket counter assign histori airlin time board never chang fix counter airport abysm servic need vast improv,2,2023-04-18,False
69, trip verifi worst experi life tri deal custom servic british airway mani issu get one destin absolut horribl time tri get answer reach anyon capabl help navig uncertainti wrote formal complaint request type refund receiv generic sorri email 5000 avio attach equival mayb 50 600 flight needless say go wast refus fli untrustworthi incompet unorgan airlin even address one singl issu express equival hand band aid slap face say flight smooth onboard staff kind attent frustrat thing custom servic train give runaround heavili point exhaust give tri take loss ,5,2023-04-17,True
70, trip verifi due code share cathay pacif downgrad ba return leg describ cheat felt book paid airlin great entertain food servic instead forc go hungri one choic meal ined ensur passeng get funni idea assum vegetarian option unavail might given cracker small packet nut cabin crew announc uniqu aggress dismiss way get anyth els 12 hour know entertain compil main b movi paid 11 wi fi could watch netflix laptop unsurpris signal weak even send email add insult injuri earbud provid cheapest lowest qualiti ever seen sinc last time use airlin crew less rude obnoxi impati unhelp understand seem british airway look characterist desir attribut crew ,1,2023-04-17,True
71, trip verifi lhr check quick first wing quick secur first loung quiet chang reason good breakfast buffet avail ba brought back highlif magazin loung seem use covid scrap magazin use offer part endless ba cost cut toilet loung disgust ever clean frequent visit 20 year date public washroom t5 better cleaner board usual ba muddl mess two gate staff appear clue endless announc gate full flight request passeng check bag get flight less 40 full onboard good welcom captain flight left gate 5 min late breakfast 3 choic fair standard hot towel even packet towel offer club europ anoth part relentless ba cost cut mind fare proportion lot higher pre covid cabin staff servic perfunctori best scrap recognit ba gold oneworld emerald member clear proof ba realli care breakfast tray clear 45 min flight sign staff stay front galley rest flight paid 4 99 1 hour wifi drop connect next 40 min sad note staff servic ryanair pro activ nowaday prioriti tag suitcas came near last malaga standard ba busi class baggag handl wast money club europ standard keep drop ,3,2023-04-16,True
72, trip verifi recommend british airway tri call custom servic 3 time differ day time wait 30 minut phone end hang excus high volum call write email still wait 2 week websit difficult navig easi realli invoic proof receipt look anoth servic sent onlin receiv pdf file need proof flight need screenshot flight flown ess book reprint document tri creat pdf need contact custom servic onlin long wait time wait week receiv expens poor almost inexist custom servic difficult use websit airlin definit recommend shame 2023 still posit sleep competitor around,4,2023-04-15,True
73, trip verifi absolut horribl experi book ticket expedia british airway oper flight madrid belfast changeov london heathrow whole itinerari list ba although madrid london flight iberia jan 22nd london experienc cold fog iberian flight sat tarmac 2 hour madrid london weather upon land termin 3 take bus termin 5 flight last flight belfast even alreadi taken ba desk swamp peopl mani peopl spend night due weather british airway staff said could go book hotel 200 pound would reimburs bare abl find room take expens cab howev tri get reimburs ba said problem iberia problem iberia said reimburs due weather complain ba said market flight ba refus reimburs absolut disgust behavior airlin take respons flight use name sell peopl want take respons expect take bus back termin 3 peopl gave fals inform ,3,2023-04-15,True
74,verifi worst airlin one thing went right understand got bad late take gate arriv bag took 40 minut arriv horrend,1,2023-04-14,False
75, trip verifi never fli british airway start plane 2 hour late weather reason given board process chaotic airport onto plane import although busi class realli busi class aisl separ way simpli put tray middl seat one sit seat like rest extrem cramp uncomfort could believ call busi class ,1,2023-04-13,True
76, trip verifi worst aircraft ever flown seat cramp uncomfort consid flight cost well 1000each expect littl space money husband knee rub seat front 10 hour flight eptabl food disgust ined hot food breakfast vile would entertain use ba ground staff great seat food offer let airlin expect much ,2,2023-04-12,True
77, trip verifi enjoy flight board swift servic friend profession food select good enjoy qualiti one downsid land issu ground crew readi t5 total land get door open took 30 minut believ heathrow t5 strike action week ,1,2023-04-11,True
78, trip verifi make hard loung experi staff take care board treat us disdain border contempt train would fear anyth happen new club world suit huge step old product realli deliv comfort privaci crew profession person found food menu rather odd essenti one main could handl told ran row ,9,2023-04-10,True
79, trip verifi sever delay cancel flight final made copenhagen american airlin british airway flight luggag destroy wheel torn buy new luggag denmark made claim british airway reimburs receipt old luggag would cover 50 new luggag advic receipt old luggag prior fli get rip like ,5,2023-04-09,True
80,verifi liter worst flight life book ticket togeth partner separ sorri flight full flight took 45 minut late apolog trolley servic took two hour period skip row respons flippant rude whoop sure happen want genuin appal begin end might well fli easi jet least charg price commensur poor qualiti servic like ba,1,2023-04-09,False
81, trip verifi swore would never fli ba mess much tri get budapest time flight suit decid give anoth go flight left time cabin clean staff friend even complimentari tea coffe breakfast bar economi flight pleasant enough think negat write flight servic certain head shoulder trip easyjet ,2,2023-04-09,True
82, trip verifi obvious mani airlin gone downhil recent year price increas servic gone disappoint thing ba aspect realli need get wors check staff heathrow downright rude abus shout passeng line roll eye passeng get confus constant shout bulli airlin compet global behaviour particular notic asia servic industri next level want suggest staff like mani younger employe polit help howev coupl older staff downright rude obnoxi ,7,2023-04-06,True
83, trip verifi lost 3 4 check bag deni wheelchair assist lhr wife staff forc us chang termin foot rude staff ba297 lhr ord april 05 2023 ignor multipl time simpli request cup water walk coupl attempt request water polit ba staff onboard yell wife ask go back seat horribl flight disappoint staff custom servic terribl onlin check never work ba never verifi covid document upload advanc result wife seat separ lost respect british airway disgust ,4,2023-04-06,True
